"","player_name","batter","expected_hr_2021"
"141","Ian Happ",664023,22.1861780423194
"142","Tommy Pham",502054,22.1643969800071
"143","Paul DeJong",657557,22.1471180958349
"144","Eric Thames",519346,22.0704878982547
"145","J.D. Davis",605204,22.0440396169608
"146","Nomar Mazara",608577,21.944271904958
"147","Jackie Bradley Jr.",598265,21.8908351730936
"148","Jesse Winker",608385,21.8736813379331
"149","Trea Turner",607208,21.8341038621363
"150","Bryan Reynolds",668804,21.8332278234215
"151","Ke'Bryan Hayes",663647,21.8156027300902
"152","Jordan Luplow",656669,21.7317868103794
"153","Ozzie Albies",645277,21.6917513140239
"154","Tyler Naquin",571980,21.6502042856978
"155","Eric Hosmer",543333,21.6231872203169
"156","Andrew McCutchen",457705,21.546787891044
"157","Robinson Cano",429664,21.3576907633484
"158","Mark Canha",592192,21.3527504493993
"159","Yoan Moncada",660162,21.343054836618
"160","Daniel Vogelbach",596129,21.2631033903568
"161","Christin Stewart",621514,21.1968806541569
"162","Justin Smoak",475253,21.0711640986912
"163","Derek Dietrich",518618,21.0396616605619
"164","Jorge Alfaro",595751,20.9611575989348
"165","Harrison Bader",664056,20.9418635146978
"166","Trent Grisham",663757,20.8630571948276
"167","Avisail Garcia",541645,20.8207816873302
"168","Chance Sisco",642082,20.8028902905301
"169","Randy Arozarena",668227,20.7572131695538
"170","Jake Lamb",571875,20.6984925885635
"171","Ji-Man Choi",596847,20.5730637469787
"172","Willson Contreras",575929,20.5299985968098
"173","Hunter Pence",452254,20.5103714337756
"174","Darin Ruf",573131,20.5056686789819
"175","Mike Brosseau",670712,20.5010876989487
"176","Mike Ford",645801,20.4744778714557
"177","David Dahl",621311,20.4517229396907
"178","Chris Taylor",621035,20.4318691586834
"179","Danny Jansen",643376,20.4011734558584
"180","Matt Kemp",461314,20.3738177098713
"181","Brian Goodwin",571718,20.3713058283342
"182","Willy Adames",642715,20.2725411680692
"183","DJ LeMahieu",518934,20.2538828926555
"184","Eduardo Escobar",500871,20.205436715149
"185","Miguel Cabrera",408234,20.1994512034821
"186","Albert Pujols",405395,20.1980819763079
"187","Max Kepler",596146,20.1630172986543
"188","Michael Chavis",656308,20.0846571917048
"189","Joey Votto",458015,20.0375584509935
"190","Michael Perez",605421,20.0134312583715
"191","Mitch Garver",641598,19.9554619857619
"192","Ryan O'Hearn",656811,19.944566035093
"193","Aristides Aquino",606157,19.9328370552724
"194","Ty France",664034,19.9047843642794
"195","Marcus Semien",543760,19.8304414990146
"196","Jose Altuve",514888,19.8034907524263
"197","Stephen Piscotty",572039,19.7736384368376
"198","Grayson Greiner",606988,19.7363773246092
