"","Year","Batter","K_pct","Adj_K_pct","BB_pct","Adj_BB_pct"
"1",2017,"A.J. Ellis",0.177914110429448,0.198797722957907,0.0736196319018405,0.0987621794743473
"2",2017,"Aaron Altherr",0.25,0.239332807937337,0.0728155339805825,0.0829376759844024
"3",2017,"Aaron Hicks",0.185595567867036,0.243503689571773,0.141274238227147,0.132013165256462
"4",2017,"Aaron Hill",0.1625,0.195617899091735,0.1375,0.118062729903388
"5",2017,"Aaron Judge",0.305309734513274,0.318334137924927,0.171091445427729,0.145611199029246
"6",2017,"Abraham Almonte",0.235897435897436,0.220426191133627,0.102564102564103,0.112431764435361
"7",2017,"Adalberto Mondesi",0.366666666666667,0.289533114536963,0.05,0.0450937904908358
"8",2017,"Adam Duvall",0.262751159196291,0.242714028727835,0.0587326120556414,0.0631239450889445
"9",2017,"Adam Eaton",0.168224299065421,0.199804615061645,0.130841121495327,0.119595377067032
"10",2017,"Adam Engel",0.348214285714286,0.334263951670306,0.056547619047619,0.0818873929806425
"11",2017,"Adam Frazier",0.125550660792952,0.162024181554445,0.0748898678414097,0.0678624320650697
"12",2017,"Adam Jones",0.177952755905512,0.187753523889523,0.0409448818897638,0.0533847984436357
"13",2017,"Adam Lind",0.156146179401993,0.179293314893275,0.0764119601328904,0.0739707558494539
"14",2017,"Adam Rosales",0.320512820512821,0.281367051087796,0.032051282051282,0.0531437809541867
"15",2017,"Addison Russell",0.236363636363636,0.217724447490715,0.0623376623376623,0.0749869612717108
"16",2017,"Adeiny Hechavarria",0.192528735632184,0.181561763039957,0.0344827586206897,0.0272407795954834
"17",2017,"Adonis Garcia",0.12568306010929,0.157145507057435,0.0382513661202186,0.0409511141468582
"18",2017,"Adrian Beltre",0.133676092544987,0.172297196497985,0.0951156812339332,0.10086956128452
"19",2017,"Adrian Gonzalez",0.170634920634921,0.150394518180567,0.0595238095238095,0.0432199577396723
"20",2017,"Adrian Sanchez",0.333333333333333,0.28286794584608,0.0133333333333333,0.038140525370473
"21",2017,"AJ Pollock",0.152360515021459,0.14967625861026,0.0729613733905579,0.0764237033566557
"22",2017,"Albert Almora Jr.",0.160990712074303,0.149332223869226,0.0557275541795666,0.041976979265454
"23",2017,"Albert Pujols",0.14622641509434,0.126634601756648,0.050314465408805,0.0472303445631458
"24",2017,"Alcides Escobar",0.160572337042925,0.14243050195809,0.0222575516693164,0.0268528021206665
"25",2017,"Aledmys Diaz",0.13953488372093,0.13190774027245,0.0398671096345515,0.0301788483900074
"26",2017,"Alejandro De Aza",0.228571428571429,0.207530906382214,0.0285714285714286,-0.00255316572838617
"27",2017,"Alen Hanson",0.222222222222222,0.191575922741472,0.0512820512820513,0.0463269959068377
"28",2017,"Alex Avila",0.319148936170213,0.365811157346242,0.159574468085106,0.15134902303661
"29",2017,"Alex Bregman",0.153354632587859,0.162716628971501,0.0846645367412141,0.0908078674508631
"30",2017,"Alex Gordon",0.231053604436229,0.229431869095133,0.077634011090573,0.097472497149959
"31",2017,"Alex Mejia",0.244897959183673,0.207044525545934,0.0408163265306122,0.0491486728206093
"32",2017,"Alex Presley",0.185606060606061,0.173006299899338,0.0568181818181818,0.0347899644998607
"33",2017,"Alex Verdugo",0.16,0.205416730705253,0.08,0.0626896813348152
"34",2017,"Alexi Amarista",0.215909090909091,0.200341654909551,0.0397727272727273,0.0324785966440528
"35",2017,"Allen Cordoba",0.237885462555066,0.234155396070532,0.0748898678414097,0.0881708218517688
"36",2017,"Amed Rosario",0.288235294117647,0.228718820720735,0.0176470588235294,0.0304356322757135
"37",2017,"Andre Ethier",0.263157894736842,0.237042545922454,0.0789473684210526,0.0503676352872416
"38",2017,"Andrelton Simmons",0.102009273570325,0.133932175210758,0.0726429675425039,0.0693937085533481
"39",2017,"Andres Blanco",0.236111111111111,0.22460589465229,0.0833333333333333,0.0742584386666582
"40",2017,"Andrew Benintendi",0.168693009118541,0.201337624343309,0.0957446808510638,0.0902964661286014
"41",2017,"Andrew Knapp",0.274509803921569,0.281724608005826,0.132352941176471,0.113883807410608
"42",2017,"Andrew McCutchen",0.178461538461538,0.205391277085775,0.104615384615385,0.107785866203245
"43",2017,"Andrew Romine",0.192528735632184,0.193677199703619,0.0632183908045977,0.0570991942407259
"44",2017,"Andrew Stevenson",0.303030303030303,0.21984239413852,0.106060606060606,0.0589209891586311
"45",2017,"Andrew Toles",0.156862745098039,0.164339119900665,0.0490196078431373,0.0588773463974756
"46",2017,"Anthony Rendon",0.135537190082645,0.17276504996716,0.128925619834711,0.124577000795331
"47",2017,"Anthony Rizzo",0.127351664254703,0.176758283139695,0.115774240231548,0.121229520224063
"48",2017,"Arismendy Alcantara",0.351851851851852,0.288364492552325,0.0185185185185185,0.0259594044579658
"49",2017,"Asdrubal Cabrera",0.153703703703704,0.17577283317387,0.0907407407407407,0.0854035272213775
"50",2017,"Austin Barnes",0.16412213740458,0.2052728260102,0.145038167938931,0.144993351646019
"51",2017,"Austin Hays",0.253968253968254,0.191695194069394,0.0317460317460317,0.0255121755799139
"52",2017,"Austin Hedges",0.292565947242206,0.267749158105969,0.0479616306954436,0.0478528808643684
"53",2017,"Austin Jackson",0.20125786163522,0.183583319762546,0.10377358490566,0.11146182062009
"54",2017,"Austin Romine",0.226190476190476,0.208863699377424,0.0634920634920635,0.06251951041672
"55",2017,"Austin Slater",0.228346456692913,0.191056134627047,0.062992125984252,0.0936193266664663
"56",2017,"Avisail Garcia",0.197860962566845,0.183147879807161,0.0499108734402852,0.058828996457173
